Iegravecyr	uni0400
tecyr.loclBGR	tecyr.loclBGR
efcyr.loclBGR	efcyr.loclBGR
tsecyr.loclBGR	tsecyr.loclBGR
checyr.loclBGR	checyr.loclBGR
shacyr.loclBGR	shacyr.loclBGR
shchacyr.loclBGR	shchacyr.loclBGR
hardcyr.loclBGR	hardcyr.loclBGR
softcyr.loclBGR	softcyr.loclBGR
yucyr.loclBGR	yucyr.loclBGR
igravecyr.loclBGR	igravecyr.loclBGR
